Crop,Year,Element,Yield_kg_per_ha,Unit,DateTime,Temperature_C,Humidity_%,Rainfall_mm,NDVI_mean
Apples,2013,Yield,6137.8,kg/ha,2025-06-19 09:00:00,34.19,46.0,0.57,0.2825
Apples,2014,Yield,7978.8,kg/ha,2025-06-19 12:00:00,33.78,47.0,0.78,0.2761
Apples,2015,Yield,6689.7,kg/ha,2025-06-19 15:00:00,29.31,68.0,5.65,0.284
Apples,2016,Yield,9101.1,kg/ha,2025-06-19 18:00:00,26.72,61.0,3.64,0.2927
Apples,2017,Yield,7426.2,kg/ha,2025-06-19 21:00:00,27.28,65.0,0.1,0.2752
Apples,2018,Yield,7730.9,kg/ha,2025-06-20 00:00:00,27.86,67.0,0.59,0.2752
Apples,2019,Yield,7519.5,kg/ha,2025-06-20 03:00:00,24.89,87.0,2.26,0.2933
Apples,2020,Yield,9077.4,kg/ha,2025-06-20 06:00:00,27.24,72.0,0.96,0.2852
Apples,2021,Yield,7271.6,kg/ha,2025-06-20 09:00:00,28.4,65.0,0.87,0.2728
Apples,2022,Yield,8219.0,kg/ha,2025-06-20 12:00:00,27.19,72.0,0.22,0.2829
Apples,2023,Yield,9460.5,kg/ha,2025-06-20 15:00:00,27.41,72.0,0.32,0.2729
Areca nuts,2013,Yield,1365.5,kg/ha,2025-06-20 18:00:00,27.28,73.0,0.0,0.2728
Areca nuts,2014,Yield,1376.1,kg/ha,2025-06-20 21:00:00,26.13,80.0,1.53,0.2799
Areca nuts,2015,Yield,1660.0,kg/ha,2025-06-21 00:00:00,26.56,78.0,0.49,0.2584
Areca nuts,2016,Yield,1506.3,kg/ha,2025-06-21 03:00:00,27.83,71.0,0.0,0.2603
Areca nuts,2017,Yield,1589.0,kg/ha,2025-06-21 06:00:00,28.18,66.0,0.0,0.2719
Areca nuts,2018,Yield,1676.1,kg/ha,2025-06-21 09:00:00,31.31,54.0,0.0,0.2674
Areca nuts,2019,Yield,1726.1,kg/ha,2025-06-21 12:00:00,32.46,48.0,0.0,0.2806
Areca nuts,2020,Yield,1850.1,kg/ha,2025-06-21 15:00:00,29.91,59.0,0.0,0.2684
